artist_name,track_name,track_id,track_popularity,artist_id,artist_followers,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,82,4oUHIQIBe0LHzYfvXNW4QM,4325366,"['contemporary country', 'country']",83,0.505,0.657,11.0,-5.24,0.0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520.0
Nicky Youre,Sunroof,4h4QlmocP3IuwYEj2j14p8,89,7qmpXeNz2ojlMl2EEfkeLs,82101,['pop'],72,0.768,0.714,10.0,-5.11,1.0,0.0401,0.352,0.0,0.15,0.842,131.443,163026.0
Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,83,3TVXtAsR1Inumwj472S9r4,69021028,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,0.849,0.424,5.0,-9.579,0.0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966.0
Tory Lanez,The Color Violet,3azJifCSqg9fRij2yKIbWz,85,2jku7tDXc6XoB6MO2hFuqg,4823217,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",80,0.645,0.534,6.0,-10.8,0.0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467.0
Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,83,3TVXtAsR1Inumwj472S9r4,69021028,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956.0
Stephen Sanchez,Until I Found You,0T5iIrXA4p5GsubkhuBIKV,88,5XKFrudbV4IiuE5WuTPRmT,307962,"['gen z singer-songwriter', 'pop']",76,0.539,0.508,10.0,-6.05,1.0,0.0288,0.727,0.0,0.174,0.227,101.358,177720.0
Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,79,77kULmXAQ6vWer7IIHdGzI,748086,"['contemporary country', 'country', 'country road']",71,0.586,0.559,4.0,-6.725,1.0,0.05,0.639,0.0,0.0872,0.437,177.945,167480.0
AJR,World's Smallest Violin,3jHBgKdLCf46aP3HRI0WYv,77,6s22t5Y3prQHyaHWUN1R1C,2643135,['modern rock'],75,0.68,0.696,5.0,-6.977,1.0,0.051,0.116,0.0,0.607,0.684,115.962,180743.0
Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,85,1gl0S9pS0Zw0qfa14rDD3D,824499,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",69,0.345,0.941,9.0,-9.918,1.0,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062.0
Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,86,6qqNVTkY8uBg9cP3Jd7DAH,72176384,"['art pop', 'electropop', 'pop']",88,0.332,0.225,0.0,-8.697,1.0,0.0348,0.767,0.00349,0.128,0.297,81.055,298899.0
Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,86,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0
Polo G,RAPSTAR,18vXApRmJSgQ6wG2ll9AOg,81,6AgTAQt8XS6jRWi4sX7w49,8636824,"['chicago rap', 'rap']",82,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,165926.0
Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,86,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,229227.0
Morgan Wallen,More Than My Hometown,5OELUCYgOHKFAvCERnAvfS,77,4oUHIQIBe0LHzYfvXNW4QM,4325366,"['contemporary country', 'country']",83,0.62,0.869,6.0,-5.479,1.0,0.0462,0.615,0.0,0.131,0.597,126.019,216573.0
Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,86,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.442,0.612,2.0,-7.222,1.0,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507.0
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,87,5cj0lLjcoR7YOSnhnX0Po5,23023983,"['dance pop', 'pop']",86,0.824,0.764,5.0,-4.175,0.0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627.0
Olivia Rodrigo,favorite crime,5JCoSi02qi3jJeHdZXMmR8,84,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.369,0.272,9.0,-10.497,1.0,0.0364,0.866,0.0,0.147,0.218,172.929,152667.0
Jelly Roll,Son Of A Sinner,25VQoiuyc0HkC5FQTj1a8G,76,19k8AgwwTSxeaxkOuCQEJs,1611575,"['country rap', 'nashville hip hop', 'tennessee hip hop']",71,0.365,0.541,7.0,-7.489,1.0,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,232093.0
Baby Keem,family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN,79,5SXuuuRpukkTvsLuUknva1,1178260,"['hip hop', 'rap']",79,0.711,0.611,1.0,-5.453,1.0,0.33,0.00588,0.0,0.23,0.144,134.093,252262.0
Morgan Wallen,Cover Me Up,0mKnuxVkPi5h0kuvZl44VM,77,4oUHIQIBe0LHzYfvXNW4QM,4325366,"['contemporary country', 'country']",83,0.549,0.44,7.0,-8.192,1.0,0.0264,0.232,7.37e-06,0.107,0.214,128.01,293707.0
Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,83,06HL4z0CvFAxyc27GXpf02,62572904,['pop'],100,0.631,0.518,0.0,-8.771,1.0,0.0303,0.274,0.0,0.088,0.205,93.023,613027.0
Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,77,4oUHIQIBe0LHzYfvXNW4QM,4325366,"['contemporary country', 'country']",83,0.403,0.537,3.0,-6.628,1.0,0.031,0.59,0.0,0.112,0.414,69.877,202133.0
The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,87,2tIP7SsRs7vjIcLrU85W8J,4090880,"['australian hip hop', 'pop']",80,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,141806.0
Sleepy Hallow,2055,4XvcHTUfIlWfyJTRG0aqlo,81,6EPlBSH2RSiettczlz7ihV,1155825,"['brooklyn drill', 'nyc rap']",76,0.829,0.512,6.0,-5.865,0.0,0.187,0.492,0.0,0.12,0.638,80.511,123987.0
Baby Keem,16,1Is8hGpkGMiePASAxBluxM,78,5SXuuuRpukkTvsLuUknva1,1178260,"['hip hop', 'rap']",79,0.701,0.782,1.0,-4.987,1.0,0.138,0.0918,2.31e-06,0.124,0.57,94.03,156040.0
Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,82,3TVXtAsR1Inumwj472S9r4,69021028,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,0.666,0.465,1.0,-8.545,1.0,0.26,0.0503,0.0,0.215,0.292,167.937,291175.0
ame,raining for hours,3L1JHXiqNOJ57w3n2R3HyU,81,7htQnykNfk2Bu39bSw7owz,562,[],63,0.231,0.976,10.0,-27.426,0.0,0.0487,0.152,0.987,0.48,0.00672,96.552,131500.0
Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,86,1McMsnEElThX1knmY4oliG,22059475,['pop'],83,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013.0
Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,86,1uNFoZAHBGtllmzznpCI3s,67640519,"['canadian pop', 'pop']",89,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0
